TABLE_NAME,COLUMN_NAME,DATA_TYPE
----------,-----------,---------
AuditLog,audit_log_id,bigint
AuditLog,entity_name,varchar
AuditLog,entity_pk,varchar
AuditLog,action_type,varchar
AuditLog,old_value_json,nvarchar
AuditLog,new_value_json,nvarchar
AuditLog,changed_by,bigint
AuditLog,changed_at,datetime
AuditLog,source_module,varchar
BookingChannel,booking_channel_id,bigint
BookingChannel,channel_code,varchar
BookingChannel,channel_name,nvarchar
BookingChannel,channel_type,varchar
BookingChannel,commission_percent,decimal
BookingChannel,contact_email,varchar
BookingChannel,status,varchar
BookingChannel,created_at,datetime
BookingChannel,updated_at,datetime
Brand,brand_id,bigint
Brand,chain_id,bigint
Brand,brand_code,varchar
Brand,brand_name,nvarchar
Brand,brand_positioning,nvarchar
Brand,star_standard,int
Brand,description,nvarchar
Brand,status,varchar
Brand,created_at,datetime
Brand,updated_at,datetime
EmailVerificationOtp,email_otp_id,bigint
EmailVerificationOtp,guest_auth_id,bigint
EmailVerificationOtp,otp_code,varchar
EmailVerificationOtp,purpose,varchar
EmailVerificationOtp,expires_at,datetime
EmailVerificationOtp,consumed_at,datetime
EmailVerificationOtp,created_at,datetime
Guest,guest_id,bigint
Guest,guest_code,varchar
Guest,title,nvarchar
Guest,first_name,nvarchar
Guest,middle_name,nvarchar
Guest,last_name,nvarchar
Guest,full_name,nvarchar
Guest,gender,varchar
Guest,date_of_birth,date
Guest,nationality_country_code,char
Guest,email,varchar
Guest,phone_country_code,varchar
Guest,phone_number,varchar
Guest,preferred_language_code,varchar
Guest,vip_flag,bit
Guest,marketing_opt_in_flag,bit
Guest,identity_document_type,varchar
Guest,identity_document_no,varchar
Guest,document_issue_country,char
Guest,created_at,datetime
Guest,updated_at,datetime
GuestAddress,guest_address_id,bigint
GuestAddress,guest_id,bigint
GuestAddress,address_type,varchar
GuestAddress,address_line_1,nvarchar
GuestAddress,address_line_2,nvarchar
GuestAddress,city,nvarchar
GuestAddress,state_province,nvarchar
GuestAddress,postal_code,varchar
GuestAddress,country_code,char
GuestAddress,is_primary,bit
GuestAddress,created_at,datetime
GuestAddress,updated_at,datetime
GuestAuth,guest_auth_id,bigint
GuestAuth,guest_id,bigint
GuestAuth,login_email,varchar
GuestAuth,password_hash,varchar
GuestAuth,account_status,varchar
GuestAuth,email_verified_at,datetime
GuestAuth,last_login_at,datetime
GuestAuth,created_at,datetime
GuestAuth,updated_at,datetime
GuestPreference,preference_id,bigint
GuestPreference,guest_id,bigint
GuestPreference,preference_type,varchar
GuestPreference,preference_value,nvarchar
GuestPreference,priority_level,varchar
GuestPreference,effective_from,datetime
GuestPreference,effective_to,datetime
GuestPreference,note,nvarchar
GuestPreference,created_at,datetime
GuestPreference,updated_at,datetime
Hotel,hotel_id,bigint
Hotel,brand_id,bigint
Hotel,hotel_code,varchar
Hotel,hotel_name,nvarchar
Hotel,legal_name,nvarchar
Hotel,hotel_type,varchar
Hotel,star_rating,int
Hotel,opening_date,date
Hotel,status,varchar
Hotel,timezone,varchar
Hotel,currency_code,char
Hotel,check_in_time,time
Hotel,check_out_time,time
Hotel,total_floors,int
Hotel,total_rooms,int
Hotel,primary_language_code,varchar
Hotel,contact_email,varchar
Hotel,contact_phone,varchar
Hotel,reservation_email,varchar
Hotel,reservation_phone,varchar
Hotel,location_id,bigint
Hotel,address_line_1,nvarchar
Hotel,address_line_2,nvarchar
Hotel,postal_code,varchar
Hotel,latitude,decimal
Hotel,longitude,decimal
Hotel,created_at,datetime
Hotel,updated_at,datetime
HotelAmenity,hotel_amenity_id,bigint
HotelAmenity,hotel_id,bigint
HotelAmenity,amenity_code,varchar
HotelAmenity,is_complimentary,bit
HotelAmenity,is_chargeable,bit
HotelAmenity,base_fee,decimal
HotelAmenity,availability_status,varchar
HotelAmenity,operating_hours,varchar
HotelAmenity,notes,nvarchar
HotelAmenity,created_at,datetime
HotelAmenity,updated_at,datetime
HotelChain,chain_id,bigint
HotelChain,chain_code,varchar
HotelChain,chain_name,nvarchar
HotelChain,headquarters_country_code,char
HotelChain,headquarters_city,nvarchar
HotelChain,official_website,varchar
HotelChain,support_email,varchar
HotelChain,support_phone,varchar
HotelChain,luxury_segment,varchar
HotelChain,status,varchar
HotelChain,created_at,datetime
HotelChain,updated_at,datetime
HotelPolicy,policy_id,bigint
HotelPolicy,hotel_id,bigint
HotelPolicy,cancellation_policy_text,nvarchar
HotelPolicy,deposit_policy_text,nvarchar
HotelPolicy,child_policy_text,nvarchar
HotelPolicy,pet_policy_text,nvarchar
HotelPolicy,smoking_policy_text,nvarchar
HotelPolicy,extra_bed_policy_text,nvarchar
HotelPolicy,late_checkout_policy_text,nvarchar
HotelPolicy,early_checkin_policy_text,nvarchar
HotelPolicy,identity_document_required,bit
HotelPolicy,minimum_checkin_age,int
HotelPolicy,refundable_flag,bit
HotelPolicy,effective_from,datetime
HotelPolicy,effective_to,datetime
HotelPolicy,status,varchar
HotelPolicy,created_at,datetime
HotelPolicy,updated_at,datetime
HotelReview,hotel_review_id,bigint
HotelReview,hotel_id,bigint
HotelReview,guest_id,bigint
HotelReview,reservation_id,bigint
HotelReview,rating_score,int
HotelReview,review_title,nvarchar
HotelReview,review_text,nvarchar
HotelReview,public_visible_flag,bit
HotelReview,moderation_status,varchar
HotelReview,created_at,datetime
HotelReview,updated_at,datetime
HousekeepingTask,hk_task_id,bigint
HousekeepingTask,hotel_id,bigint
HousekeepingTask,room_id,bigint
HousekeepingTask,task_type,varchar
HousekeepingTask,task_status,varchar
HousekeepingTask,priority_level,varchar
HousekeepingTask,assigned_staff_id,bigint
HousekeepingTask,scheduled_for,datetime
HousekeepingTask,started_at,datetime
HousekeepingTask,completed_at,datetime
HousekeepingTask,note,nvarchar
HousekeepingTask,created_at,datetime
HousekeepingTask,updated_at,datetime
InventoryLockLog,lock_log_id,bigint
InventoryLockLog,reservation_code_attempt,varchar
InventoryLockLog,room_id,bigint
InventoryLockLog,stay_date,date
InventoryLockLog,lock_acquired_at,datetime
InventoryLockLog,lock_released_at,datetime
InventoryLockLog,lock_status,varchar
InventoryLockLog,session_id,varchar
InventoryLockLog,transaction_id,varchar
InventoryLockLog,note,nvarchar
Invoice,invoice_id,bigint
Invoice,reservation_id,bigint
Invoice,invoice_no,varchar
Invoice,invoice_type,varchar
Invoice,issued_at,datetime
Invoice,billing_name,nvarchar
Invoice,billing_tax_no,varchar
Invoice,billing_address,nvarchar
Invoice,subtotal_amount,decimal
Invoice,tax_amount,decimal
Invoice,service_charge_amount,decimal
Invoice,total_amount,decimal
Invoice,currency_code,char
Invoice,status,varchar
Invoice,created_at,datetime
Location,location_id,bigint
Location,parent_location_id,bigint
Location,location_code,varchar
Location,location_name,nvarchar
Location,location_type,varchar
Location,level,int
Location,iso_code,varchar
Location,latitude,decimal
Location,longitude,decimal
Location,timezone,varchar
Location,created_at,datetime
Location,updated_at,datetime
LoyaltyAccount,loyalty_account_id,bigint
LoyaltyAccount,guest_id,bigint
LoyaltyAccount,chain_id,bigint
LoyaltyAccount,membership_no,varchar
LoyaltyAccount,tier_code,varchar
LoyaltyAccount,points_balance,decimal
LoyaltyAccount,lifetime_points,decimal
LoyaltyAccount,enrollment_date,date
LoyaltyAccount,expiry_date,date
LoyaltyAccount,status,varchar
LoyaltyAccount,created_at,datetime
LoyaltyAccount,updated_at,datetime
LoyaltyRedemption,loyalty_redemption_id,bigint
LoyaltyRedemption,guest_id,bigint
LoyaltyRedemption,loyalty_account_id,bigint
LoyaltyRedemption,promotion_id,bigint
LoyaltyRedemption,reservation_id,bigint
LoyaltyRedemption,issued_promo_code,varchar
LoyaltyRedemption,points_spent,decimal
LoyaltyRedemption,status,varchar
LoyaltyRedemption,issued_at,datetime
LoyaltyRedemption,expires_at,datetime
LoyaltyRedemption,redeemed_at,datetime
LoyaltyRedemption,cancelled_at,datetime
